,tweet_id,timestamp,source,rating_numerator,rating_denominator,name,favorite_count,retweet_count,id,jpg_url,stage
0,892420643555336193,2017-08-01 16:23:56,Twitter for iPhone,13.0,10.0,Phineas,39467,8853,892420643555336193,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,
1,892177421306343426,2017-08-01 00:17:27,Twitter for iPhone,13.0,10.0,Tilly,33819,6514,892177421306343426,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,
2,891815181378084864,2017-07-31 00:18:03,Twitter for iPhone,12.0,10.0,Archie,25461,4328,891815181378084864,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,
3,891689557279858688,2017-07-30 15:58:51,Twitter for iPhone,13.0,10.0,Darla,42908,8964,891689557279858688,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,
4,891327558926688256,2017-07-29 16:00:24,Twitter for iPhone,12.0,10.0,Franklin,41048,9774,891327558926688256,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,
5,891087950875897856,2017-07-29 00:08:17,Twitter for iPhone,13.0,10.0,,20562,3261,891087950875897856,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,
6,890971913173991426,2017-07-28 16:27:12,Twitter for iPhone,13.0,10.0,Jax,12041,2158,890971913173991426,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,
7,890729181411237888,2017-07-28 00:22:40,Twitter for iPhone,13.0,10.0,,56848,16716,890729181411237888,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,
8,890609185150312448,2017-07-27 16:25:51,Twitter for iPhone,13.0,10.0,Zoey,28226,4429,890609185150312448,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,
9,890240255349198849,2017-07-26 15:59:51,Twitter for iPhone,14.0,10.0,Cassie,32467,7711,890240255349198849,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,doggo
10,890006608113172480,2017-07-26 00:31:25,Twitter for iPhone,13.0,10.0,Koda,31166,7624,890006608113172480,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,
11,889880896479866881,2017-07-25 16:11:53,Twitter for iPhone,13.0,10.0,Bruno,28268,5156,889880896479866881,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,
12,889665388333682689,2017-07-25 01:55:32,Twitter for iPhone,13.0,10.0,,38818,8538,889665388333682689,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,puppo
13,889638837579907072,2017-07-25 00:10:02,Twitter for iPhone,12.0,10.0,Ted,27672,4735,889638837579907072,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,
14,889531135344209921,2017-07-24 17:02:04,Twitter for iPhone,13.0,10.0,Stuart,15359,2321,889531135344209921,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,puppo
15,889278841981685760,2017-07-24 00:19:32,Twitter for iPhone,13.0,10.0,Oliver,25652,5637,889278841981685760,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,
16,888917238123831296,2017-07-23 00:22:39,Twitter for iPhone,12.0,10.0,Jim,29611,4709,888917238123831296,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,
17,888804989199671297,2017-07-22 16:56:37,Twitter for iPhone,13.0,10.0,Zeke,26080,4559,888804989199671297,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,
18,888554962724278272,2017-07-22 00:23:06,Twitter for iPhone,13.0,10.0,Ralphus,20290,3732,888554962724278272,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,
19,888078434458587136,2017-07-20 16:49:33,Twitter for iPhone,12.0,10.0,Gerald,22201,3653,888078434458587136,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,
20,887705289381826560,2017-07-19 16:06:48,Twitter for iPhone,13.0,10.0,Jeffrey,30779,5609,887705289381826560,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,
21,887517139158093824,2017-07-19 03:39:09,Twitter for iPhone,14.0,10.0,such,46959,12082,887517139158093824,https://pbs.twimg.com/ext_tw_video_thumb/887517108413886465/pu/img/WanJKwssZj4VJvL9.jpg,
22,887473957103951883,2017-07-19 00:47:34,Twitter for iPhone,13.0,10.0,Canela,69871,18781,887473957103951883,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,
23,887343217045368832,2017-07-18 16:08:03,Twitter for iPhone,13.0,10.0,,34222,10737,887343217045368832,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,
24,887101392804085760,2017-07-18 00:07:08,Twitter for iPhone,12.0,10.0,,31061,6167,887101392804085760,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,
25,886983233522544640,2017-07-17 16:17:36,Twitter for iPhone,13.0,10.0,Maya,35859,8084,886983233522544640,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg,
26,886736880519319552,2017-07-16 23:58:41,Twitter for iPhone,13.0,10.0,Mingus,12306,3443,886736880519319552,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,
27,886680336477933568,2017-07-16 20:14:00,Twitter for iPhone,13.0,10.0,Derek,22798,4610,886680336477933568,https://pbs.twimg.com/media/DE4fEDzWAAAyHMM.jpg,
28,886366144734445568,2017-07-15 23:25:31,Twitter for iPhone,12.0,10.0,Roscoe,21524,3316,886366144734445568,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,pupper
29,886258384151887873,2017-07-15 16:17:19,Twitter for iPhone,13.0,10.0,Waffles,28469,6523,886258384151887873,https://pbs.twimg.com/media/DEyfTG4UMAE4aE9.jpg,
30,885984800019947520,2017-07-14 22:10:11,Twitter for iPhone,12.0,10.0,Jimbo,33382,7097,885984800019947520,https://pbs.twimg.com/media/DEumeWWV0AA-Z61.jpg,
31,885528943205470208,2017-07-13 15:58:47,Twitter for iPhone,13.0,10.0,Maisey,36689,6683,885528943205470208,https://pbs.twimg.com/media/DEoH3yvXgAAzQtS.jpg,
33,885167619883638784,2017-07-12 16:03:00,Twitter for iPhone,13.0,10.0,,22367,4556,885167619883638784,https://pbs.twimg.com/media/DEi_N9qXYAAgEEw.jpg,
34,884925521741709313,2017-07-12 00:01:00,Twitter for iPhone,12.0,10.0,Earl,68152,16439,884925521741709313,https://pbs.twimg.com/media/DEfjEaNXkAAtPlj.jpg,
35,884876753390489601,2017-07-11 20:47:12,Twitter for iPhone,13.0,10.0,Lola,28514,6096,884876753390489601,https://pbs.twimg.com/media/DEe2tZXXkAAwyX3.jpg,
36,884562892145688576,2017-07-11 00:00:02,Twitter for iPhone,13.0,10.0,Kevin,24765,5100,884562892145688576,https://pbs.twimg.com/media/DEaZQkfXUAEC7qB.jpg,
37,884441805382717440,2017-07-10 15:58:53,Twitter for iPhone,14.0,10.0,,27478,5856,884441805382717440,https://pbs.twimg.com/media/DEYrIZwWsAA2Wo5.jpg,
38,884162670584377345,2017-07-09 21:29:42,Twitter for iPhone,12.0,10.0,Yogi,20771,3128,884162670584377345,https://pbs.twimg.com/media/DEUtQbzW0AUTv_o.jpg,doggo
39,883838122936631299,2017-07-09 00:00:04,Twitter for iPhone,12.0,10.0,Noah,22349,3586,883838122936631299,https://pbs.twimg.com/media/DEQGFgAXUAAEvfi.jpg,
40,883482846933004288,2017-07-08 00:28:19,Twitter for iPhone,5.0,10.0,Bella,46860,10407,883482846933004288,https://pbs.twimg.com/media/DELC9dZXUAADqUk.jpg,
41,883360690899218434,2017-07-07 16:22:55,Twitter for iPhone,13.0,10.0,Grizzwald,22986,3825,883360690899218434,https://pbs.twimg.com/media/DEJT3FeXoAAtwUy.jpg,floofer
42,883117836046086144,2017-07-07 00:17:54,Twitter for iPhone,13.0,10.0,,37914,6949,883117836046086144,https://pbs.twimg.com/media/DEF2-_hXoAAs62q.jpg,
43,882992080364220416,2017-07-06 15:58:11,Twitter for iPhone,13.0,10.0,Rusty,24445,4122,882992080364220416,https://pbs.twimg.com/media/DEEEnIqXYAAiJh_.jpg,
44,882762694511734784,2017-07-06 00:46:41,Twitter for iPhone,12.0,10.0,Gus,28903,5134,882762694511734784,https://pbs.twimg.com/media/DEAz_HHXsAA-p_z.jpg,pupper
45,882627270321602560,2017-07-05 15:48:34,Twitter for iPhone,13.0,10.0,Stanley,28382,6342,882627270321602560,https://pbs.twimg.com/media/DD-40X3WAAAJPU5.jpg,
46,882268110199369728,2017-07-04 16:01:23,Twitter for iPhone,13.0,10.0,Alfy,45880,12118,882268110199369728,https://pbs.twimg.com/media/DD5yKdPW0AArzX8.jpg,
47,882045870035918850,2017-07-04 01:18:17,Twitter for iPhone,13.0,10.0,Koko,29900,5203,882045870035918850,https://pbs.twimg.com/media/DD2oCl2WAAEI_4a.jpg,
48,881906580714921986,2017-07-03 16:04:48,Twitter for iPhone,12.0,10.0,Rey,24773,3533,881906580714921986,https://pbs.twimg.com/media/DD0pWm9XcAAeSBL.jpg,
49,881666595344535552,2017-07-03 00:11:11,Twitter for iPhone,13.0,10.0,Gary,51522,11099,881666595344535552,https://pbs.twimg.com/media/DDxPFwbWAAEbVVR.jpg,pupper
50,881536004380872706,2017-07-02 15:32:16,Twitter for iPhone,14.0,10.0,,50199,16570,881536004380872706,https://pbs.twimg.com/ext_tw_video_thumb/881535971568889856/pu/img/9bawiZ--8FKywTkz.jpg,pupper
51,881268444196462592,2017-07-01 21:49:04,Twitter for iPhone,12.0,10.0,Elliot,23501,5358,881268444196462592,https://pbs.twimg.com/media/DDrk-f9WAAI-WQv.jpg,
52,880935762899988482,2017-06-30 23:47:07,Twitter for iPhone,13.0,10.0,Louis,17346,2886,880935762899988482,https://pbs.twimg.com/media/DDm2Z5aXUAEDS2u.jpg,
53,880872448815771648,2017-06-30 19:35:32,Twitter for iPhone,12.0,10.0,,21734,3989,880872448815771648,https://pbs.twimg.com/media/DDl8zzJW0AAisCJ.jpg,
54,880465832366813184,2017-06-29 16:39:47,Twitter for iPhone,12.0,10.0,Bella,29075,6546,880465832366813184,https://pbs.twimg.com/media/DDgK-J4XUAIEV9W.jpg,
55,880221127280381952,2017-06-29 00:27:25,Twitter for iPhone,12.0,10.0,Jesse,27640,4436,880221127280381952,https://pbs.twimg.com/media/DDcscbXU0AIfDzs.jpg,
56,880095782870896641,2017-06-28 16:09:20,Twitter for iPhone,11.0,10.0,,28150,4533,880095782870896641,https://pbs.twimg.com/media/DDa6ckbXgAAM1vV.jpg,
57,879862464715927552,2017-06-28 00:42:13,Twitter for iPhone,13.0,10.0,Romeo,22667,3642,879862464715927552,https://pbs.twimg.com/media/DDXmPrbWAAEKMvy.jpg,
58,879492040517615616,2017-06-27 00:10:17,Twitter for iPhone,12.0,10.0,Bailey,23822,3323,879492040517615616,https://pbs.twimg.com/media/DDSVWMvXsAEgmMK.jpg,
59,879415818425184262,2017-06-26 19:07:24,Twitter for iPhone,13.0,10.0,Duddles,107956,45849,879415818425184262,https://pbs.twimg.com/ext_tw_video_thumb/879415784908390401/pu/img/cX7XI1TnUsseGET5.jpg,
60,879376492567855104,2017-06-26 16:31:08,Twitter for iPhone,12.0,10.0,Jack,17099,3261,879376492567855104,https://pbs.twimg.com/media/DDQsQGFV0AAw6u9.jpg,
61,879050749262655488,2017-06-25 18:56:45,Twitter for iPhone,11.0,10.0,Steven,23022,4941,879050749262655488,https://pbs.twimg.com/media/DDMD_phXoAQ1qf0.jpg,
62,879008229531029506,2017-06-25 16:07:47,Twitter for iPhone,13.0,10.0,Beau,19317,2812,879008229531029506,https://pbs.twimg.com/media/DDLdUrqXYAMOVzY.jpg,
63,878776093423087618,2017-06-25 00:45:22,Twitter for iPhone,13.0,10.0,Snoopy,19763,4319,878776093423087618,https://pbs.twimg.com/media/DDIKMXzW0AEibje.jpg,
64,878281511006478336,2017-06-23 16:00:04,Twitter for iPhone,13.0,10.0,Shadow,7913,1349,878281511006478336,https://pbs.twimg.com/media/DDBIX9QVYAAohGa.jpg,
